speed,shield_distance,algorithm,timeLoss,lateral_collisions,rear_end_collisions
130,0,trpo,30.92,175,77
130,0,trpo,28.0,178,79
130,0,trpo,32.26,179,80
130,0,trpo,29.78,168,79
130,0,trpo,28.98,171,76
130,0,trpo,34.05,181,70
130,0,trpo,34.21,175,84
130,0,trpo,27.82,163,82
130,0,trpo,35.99,201,92
130,0,trpo,29.56,176,71
130,0,trpo,35.2,195,78
130,0,trpo,29.16,180,75
130,0,trpo,31.77,171,80
130,0,trpo,30.35,189,92
130,0,trpo,31.89,183,76
130,0,trpo,31.06,180,73
130,0,trpo,35.33,202,91
130,0,trpo,29.24,193,89
130,0,trpo,28.99,162,93
130,0,trpo,30.68,170,89
130,0,trpo,32.42,176,68
130,0,trpo,37.88,211,71
130,0,trpo,35.49,185,91
130,0,trpo,34.2,220,90
130,0,trpo,34.36,197,82
130,0,trpo,29.05,168,79
130,0,trpo,33.2,198,75
130,0,trpo,27.51,172,93
130,0,trpo,30.1,172,77
130,0,trpo,36.28,197,96
130,0,trpo,34.95,195,105
130,0,trpo,29.26,188,80
130,0,trpo,31.34,177,82
130,0,trpo,34.24,174,76
130,0,trpo,36.38,196,66
130,0,trpo,33.63,184,66
130,0,trpo,33.34,191,71
130,0,trpo,34.25,177,98
130,0,trpo,31.16,184,74
130,0,trpo,30.48,174,60
130,0,trpo,30.37,189,96
130,0,trpo,33.02,181,80
130,0,trpo,33.82,187,77
130,0,trpo,31.82,180,76
130,0,trpo,31.44,203,61
130,0,trpo,36.01,200,88
130,0,trpo,31.18,188,85
130,0,trpo,33.14,163,81
130,0,trpo,30.47,200,81
130,0,trpo,32.48,165,76
130,0,trpo,34.26,203,73
130,0,trpo,29.55,174,82
130,0,trpo,29.51,181,96
130,0,trpo,33.78,197,61
130,0,trpo,30.18,177,76
130,0,trpo,30.26,184,69
130,0,trpo,29.15,193,87
130,0,trpo,35.35,213,77
130,0,trpo,29.87,174,71
130,0,trpo,32.73,176,90
130,0,trpo,35.25,196,95
130,0,trpo,33.89,183,77
130,0,trpo,32.59,205,70
130,0,trpo,32.28,188,62
130,0,trpo,28.39,173,76
130,0,trpo,31.47,183,88
130,0,trpo,35.59,210,88
130,0,trpo,31.22,176,78
130,0,trpo,29.31,194,71
130,0,trpo,31.45,181,77
130,0,trpo,29.39,172,92
130,0,trpo,31.11,166,92
130,0,trpo,34.0,198,80
130,0,trpo,30.97,187,84
130,0,trpo,30.26,179,68
130,0,trpo,34.79,198,83
130,0,trpo,31.18,188,85
130,0,trpo,32.74,201,77
130,0,trpo,31.36,168,78
130,0,trpo,32.77,199,66
130,0,trpo,31.0,181,66
130,0,trpo,35.34,180,81
130,0,trpo,32.12,188,79
130,0,trpo,35.85,189,81
130,0,trpo,32.01,180,67
130,0,trpo,26.59,160,78
130,0,trpo,28.43,153,80
130,0,trpo,34.27,196,71
130,0,trpo,29.46,176,68
130,0,trpo,33.21,188,76
130,0,trpo,32.47,159,80
130,0,trpo,29.4,169,85
130,0,trpo,36.34,212,85
130,0,trpo,31.59,164,89
130,0,trpo,27.4,159,84
130,0,trpo,28.84,165,68
130,0,trpo,29.75,187,64
130,0,trpo,31.81,167,72
130,0,trpo,33.25,185,90
130,0,trpo,37.38,183,85
130,0,trpo,29.37,183,74
130,0,trpo,26.91,166,83
130,0,trpo,28.79,162,74
30,0,trpo,54.21,295,63
30,0,trpo,51.94,297,82
30,0,trpo,54.13,295,82
30,0,trpo,54.56,329,66
30,0,trpo,54.45,292,76
30,0,trpo,53.01,337,71
30,0,trpo,54.05,298,76
30,0,trpo,55.84,313,80
30,0,trpo,51.2,301,63
30,0,trpo,54.16,322,77
30,0,trpo,54.86,315,67
30,0,trpo,54.3,328,87
30,0,trpo,53.03,329,67
30,0,trpo,55.82,326,66
30,0,trpo,54.85,305,66
30,0,trpo,53.61,340,70
30,0,trpo,55.05,299,69
30,0,trpo,53.98,317,68
30,0,trpo,56.28,294,60
30,0,trpo,49.58,325,55
30,0,trpo,55.94,293,84
30,0,trpo,56.3,338,66
30,0,trpo,51.97,315,75
30,0,trpo,56.2,324,68
30,0,trpo,52.7,329,59
30,0,trpo,55.76,327,71
30,0,trpo,53.49,290,73
30,0,trpo,55.57,325,66
30,0,trpo,50.63,338,74
30,0,trpo,53.13,334,72
30,0,trpo,52.86,322,67
30,0,trpo,54.01,355,67
30,0,trpo,53.71,320,74
30,0,trpo,55.73,314,72
30,0,trpo,55.64,328,70
30,0,trpo,56.11,309,75
30,0,trpo,51.35,294,68
30,0,trpo,54.17,333,66
30,0,trpo,55.08,303,85
30,0,trpo,52.53,304,70
30,0,trpo,54.91,325,59
30,0,trpo,55.38,306,64
30,0,trpo,51.99,310,75
30,0,trpo,55.23,317,75
30,0,trpo,55.65,290,80
30,0,trpo,55.77,293,66
30,0,trpo,55.42,318,66
30,0,trpo,54.92,313,76
30,0,trpo,54.5,322,64
30,0,trpo,55.02,316,71
30,0,trpo,53.65,320,62
