step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,5.654234942933545,0,0.0,0.3793331114598922,0,0.0,False,,
10.0,0,0.0,0.0,8.661491296867169,0,0.0,0.5996830628518326,0,0.0,False,,
15.0,0,0.0,0.0,11.239111710076372,0,0.0,0.8275422278344888,0,0.0,False,,
20.0,1,0.0,0.0,7.914612822620009,1,0.0,0.5502017142662544,1,0.0,False,,
25.0,2,4.0,0.4,8.15787057316906,2,4.0,0.5793083723828414,2,4.0,False,,
30.0,2,10.0,0.8333333333333334,6.7966314299844335,2,10.0,0.4111549202199759,2,10.0,False,,
35.0,4,30.0,2.5,7.500039556977537,4,30.0,0.5197704655165185,4,30.0,False,,
40.0,4,50.0,3.5714285714285716,7.09936620412079,4,50.0,0.4380403318705964,4,50.0,False,,
45.0,6,75.0,5.0,5.556071679468042,6,75.0,0.25687272507378717,6,75.0,False,,
50.0,8,113.0,8.071428571428571,6.014115021917182,8,113.0,0.2525853652913152,8,113.0,False,,
55.0,8,153.0,11.76923076923077,2.7108762294868893,8,153.0,0.1160676914819116,8,153.0,False,,
60.0,11,202.0,14.428571428571429,1.9924890972516118,11,202.0,0.06979223379560717,11,202.0,False,,
65.0,11,257.0,19.76923076923077,2.232424183149078,11,257.0,0.14613918637426765,11,257.0,False,,
70.0,11,312.0,20.8,1.564381165663636,11,312.0,0.10704669526861785,11,312.0,False,,
75.0,12,371.0,20.61111111111111,3.3167619035562343,12,371.0,0.22916477458020834,12,371.0,False,,
80.0,12,431.0,23.944444444444443,4.0123317685539694,12,431.0,0.24117369597343566,12,431.0,False,,
85.0,15,494.0,24.7,2.6748327527346945,15,494.0,0.14741421975507385,15,494.0,False,,
