step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,2.3119614192517477,0,0.0,0.1915836859502964,0,0.0,False,,
10.0,0,0.0,0.0,4.063325655336454,0,0.0,0.3121350318739079,0,0.0,False,,
15.0,1,0.0,0.0,6.743448885776029,1,0.0,0.5064685643934613,1,0.0,False,,
20.0,1,0.0,0.0,9.520328531313424,1,0.0,0.6985801042202276,1,0.0,False,,
25.0,0,0.0,0.0,8.458696087544508,0,0.0,0.6243475350628183,0,0.0,False,,
30.0,2,9.0,1.0,6.189229204997476,2,9.0,0.45456448976031083,2,9.0,False,,
35.0,2,12.0,1.0909090909090908,4.397570475565538,2,18.0,0.3192808725257572,2,18.0,False,,
40.0,2,20.0,1.5384615384615385,8.857309598117284,2,22.0,0.4198896692453479,2,22.0,False,,
45.0,4,35.0,2.6923076923076925,8.979320317367485,4,37.0,0.48314407452367936,4,37.0,False,,
50.0,4,55.0,5.0,6.684152004972006,4,57.0,0.31153304000565313,4,57.0,False,,
55.0,1,1.0,0.1111111111111111,3.4729070355413145,1,32.0,0.20714258421296397,1,32.0,False,,
60.0,2,3.0,0.3,7.971432742468015,2,4.0,0.37023280834393435,2,4.0,False,,
65.0,1,8.0,0.6153846153846154,9.17364418929409,1,9.0,0.40332412024583714,1,9.0,False,,
70.0,0,0.0,0.0,10.877957828137783,0,1.0,0.8068672369719726,0,1.0,False,,
75.0,0,0.0,0.0,11.262402836451995,0,1.0,0.789332357632189,0,1.0,False,,
80.0,0,0.0,0.0,10.536479560724954,0,1.0,0.6907744695990292,0,1.0,False,,
85.0,2,0.0,0.0,7.939980501658743,2,0.0,0.3612913139025047,2,0.0,False,,
90.0,0,0.0,0.0,10.043706203340642,0,0.0,0.651303160206888,0,0.0,False,,
95.0,1,1.0,0.09090909090909091,10.921077526128867,1,1.0,0.6600687141011045,1,1.0,False,,
100.0,1,0.0,0.0,10.39214704013267,1,0.0,0.7546950468535245,1,0.0,False,,
105.0,1,0.0,0.0,8.268600224212634,1,0.0,0.3577403047677683,1,0.0,False,,
110.0,0,0.0,0.0,10.476271652977694,0,2.0,0.6979969923795047,0,2.0,False,,
115.0,0,0.0,0.0,10.451691177192666,0,0.0,0.5652946968266913,0,0.0,False,,
120.0,1,0.0,0.0,8.806478185215427,1,0.0,0.5001066166706204,1,0.0,False,,
125.0,2,7.0,0.7,6.524769177277497,2,8.0,0.36646378469755286,2,8.0,False,,
130.0,0,0.0,0.0,10.258694015027714,0,6.0,0.7659144822893712,0,6.0,False,,
135.0,0,0.0,0.0,9.285571716927135,0,1.0,0.6099198993151493,0,1.0,False,,
140.0,2,7.0,0.7,7.333041662043664,2,8.0,0.3650633583571857,2,8.0,False,,
145.0,5,25.0,2.0833333333333335,6.322064900440705,5,26.0,0.30669973145309665,5,26.0,False,,
150.0,2,15.0,1.5,7.383642101218493,2,33.0,0.5145294576798988,2,33.0,False,,
155.0,1,14.0,1.5555555555555556,8.783812064945753,1,21.0,0.5624623445693488,1,21.0,False,,
160.0,3,22.0,2.2,5.304921351977687,3,29.0,0.1693706188279918,3,29.0,False,,
165.0,4,39.0,3.5454545454545454,6.5394824056975525,4,46.0,0.22128099012584404,4,46.0,False,,
170.0,0,0.0,0.0,8.207681932823135,0,13.0,0.5749376930970586,0,13.0,False,,
175.0,0,0.0,0.0,12.211141451131194,0,0.0,0.9326493954770867,0,0.0,False,,
180.0,1,0.0,0.0,10.000906750016895,1,0.0,0.48235559810326334,1,0.0,False,,
185.0,1,5.0,0.5,9.60124542129172,1,5.0,0.4583211072232115,1,5.0,False,,
190.0,2,12.0,2.0,6.792565499920482,2,12.0,0.3724942902932786,2,12.0,False,,
195.0,0,0.0,0.0,7.849975543612966,0,5.0,0.6642370727332507,0,5.0,False,,
200.0,1,0.0,0.0,8.159952249148727,1,0.0,0.4108109301047593,1,0.0,False,,
205.0,1,0.0,0.0,6.799811806547806,1,1.0,0.30923941263003685,1,1.0,False,,
210.0,0,0.0,0.0,10.344836445421182,0,1.0,0.6482139964836939,0,1.0,False,,
215.0,1,5.0,0.4166666666666667,10.945129259714733,1,6.0,0.7504687431421443,1,6.0,False,,
220.0,1,10.0,0.7692307692307693,6.717356745388999,1,12.0,0.43515577538957145,1,12.0,False,,
225.0,6,29.0,1.8125,3.335216518329355,6,31.0,0.2360221280485723,6,31.0,False,,
230.0,10,68.0,3.7777777777777777,4.172659138744596,10,70.0,0.2921146252562892,10,70.0,False,,
235.0,10,118.0,5.363636363636363,4.9224305759769,10,120.0,0.343545306935554,10,120.0,False,,
240.0,11,170.0,7.391304347826087,4.518160587252111,11,172.0,0.2823986895952484,11,172.0,False,,
245.0,15,241.0,9.64,3.9672657768923294,15,243.0,0.24716863598446573,15,243.0,False,,
250.0,18,325.0,12.5,3.263154777879861,18,327.0,0.17840805721477063,18,327.0,False,,
255.0,14,212.0,7.851851851851852,3.3217056655035293,14,337.0,0.1738004041460135,14,337.0,False,,
260.0,6,41.0,1.4642857142857142,5.439551270386671,6,256.0,0.25182455352135574,6,256.0,False,,
265.0,3,4.0,0.14814814814814814,5.404256210981295,3,259.0,0.2451965756587115,3,259.0,False,,
270.0,7,35.0,1.25,5.516408684228535,7,290.0,0.1783503762154676,7,290.0,False,,
275.0,16,94.0,3.357142857142857,3.956358290664531,16,349.0,0.10238083044647867,16,349.0,False,,
280.0,11,81.0,3.375,4.037286031661979,11,331.0,0.1978623683719346,11,331.0,False,,
285.0,2,10.0,0.4,6.541206481776932,2,213.0,0.32499990297686215,2,213.0,False,,
290.0,1,2.0,0.07692307692307693,6.854070892140138,1,186.0,0.3201850512814362,1,186.0,False,,
295.0,9,30.0,1.2,5.132682022478778,9,215.0,0.22006527580735713,9,215.0,False,,
300.0,12,84.0,3.36,4.422200677528852,12,269.0,0.18471764211641956,12,269.0,False,,
305.0,16,157.0,7.136363636363637,2.776565250921169,16,342.0,0.16909205694670681,16,342.0,False,,
310.0,11,123.0,5.3478260869565215,3.1793733137583273,11,324.0,0.18335002896810032,11,324.0,False,,
315.0,5,26.0,1.1304347826086956,5.335574248183878,5,197.0,0.2522468697418822,5,197.0,False,,
320.0,2,5.0,0.20833333333333334,6.143805428061406,2,175.0,0.23654768520865416,2,175.0,False,,
325.0,7,32.0,1.391304347826087,6.194690528272029,7,197.0,0.19183595706546033,7,197.0,False,,
330.0,6,22.0,0.9565217391304348,5.060183022771681,6,169.0,0.18331145330181461,6,169.0,False,,
335.0,1,1.0,0.05263157894736842,8.201693120718838,1,64.0,0.43291345946792537,1,64.0,False,,
340.0,2,7.0,0.35,10.170568400905186,2,18.0,0.5678756092465885,2,18.0,False,,
345.0,0,0.0,0.0,9.939977320259029,0,7.0,0.44784142058556076,0,7.0,False,,
350.0,4,12.0,0.6666666666666666,8.660028857061434,4,15.0,0.3396824820370438,4,15.0,False,,
355.0,0,0.0,0.0,8.27322015235471,0,9.0,0.49657936070148145,0,9.0,False,,
360.0,2,6.0,0.4,9.184243764577518,2,6.0,0.5145463954946016,2,6.0,False,,
365.0,1,1.0,0.06666666666666667,8.2578231545022,1,6.0,0.4590998395733822,1,6.0,False,,
370.0,2,6.0,0.35294117647058826,9.333297243267415,2,6.0,0.5847245509470451,2,6.0,False,,
375.0,3,14.0,0.8235294117647058,8.194893920353753,3,14.0,0.5215724665958501,3,14.0,False,,
380.0,5,33.0,1.8333333333333333,8.325960528095331,5,33.0,0.5389676625835925,5,33.0,False,,
385.0,7,59.0,3.4705882352941178,4.503002628856305,7,59.0,0.284616204960977,7,59.0,False,,
390.0,11,103.0,5.421052631578948,2.6887164870651876,11,103.0,0.19895264923308714,11,103.0,False,,
395.0,7,66.0,2.869565217391304,4.178033297319263,7,116.0,0.28732082598424563,7,116.0,False,,
400.0,4,16.0,0.6666666666666666,7.51078545896796,4,87.0,0.4722662880430685,4,87.0,False,,
405.0,2,2.0,0.07142857142857142,7.110999471455543,2,70.0,0.3948304057298546,2,70.0,False,,
410.0,6,21.0,0.75,6.680824808868095,6,84.0,0.30482852925759135,6,84.0,False,,
415.0,5,17.0,0.7083333333333334,6.288175709501327,5,86.0,0.33478006051490605,5,86.0,False,,
420.0,1,8.0,0.38095238095238093,8.113493877988812,1,52.0,0.4578314054325012,1,52.0,False,,
425.0,1,2.0,0.1,6.101077231591412,1,31.0,0.14287937221213987,1,31.0,False,,
430.0,6,24.0,1.2,6.340835215301914,6,52.0,0.12076988794605978,6,52.0,False,,
435.0,2,4.0,0.19047619047619047,7.457291609974841,2,41.0,0.3329638821790036,2,41.0,False,,
440.0,1,0.0,0.0,9.633984669489262,1,7.0,0.5432733084357543,1,7.0,False,,
445.0,1,2.0,0.10526315789473684,11.48417512238422,1,2.0,0.6746800617981712,1,2.0,False,,
450.0,2,10.0,0.5263157894736842,8.619971541504134,2,10.0,0.4458720054592161,2,10.0,False,,
455.0,2,7.0,0.4375,6.6012082541382675,2,17.0,0.46439676471212993,2,17.0,False,,
460.0,5,16.0,0.8888888888888888,6.9228561494989895,5,18.0,0.43096688090831164,5,18.0,False,,
465.0,4,33.0,1.65,6.989978090076363,4,36.0,0.37835432772346306,4,36.0,False,,
470.0,6,61.0,2.9047619047619047,7.354680338256698,6,64.0,0.38103224490315313,6,64.0,False,,
475.0,4,65.0,3.0952380952380953,6.921832627746655,4,81.0,0.3771890911932307,4,81.0,False,,
480.0,5,81.0,4.05,7.445703201515542,5,86.0,0.3637309419634521,5,86.0,False,,
485.0,9,115.0,5.75,5.40608039408575,9,120.0,0.19717819997846242,9,120.0,False,,
490.0,12,164.0,9.11111111111111,3.7770535274115042,12,169.0,0.12314968173225774,12,169.0,False,,
495.0,7,70.0,3.888888888888889,4.114294044183016,7,161.0,0.2533995401651101,7,161.0,False,,
500.0,0,0.0,0.0,7.2428025341149604,0,80.0,0.43816354975278693,0,80.0,False,,
505.0,3,7.0,0.35,7.779143806911532,3,87.0,0.43665650963156455,3,87.0,False,,
510.0,7,34.0,1.5454545454545454,6.885612855539606,7,114.0,0.32104539625492523,7,114.0,False,,
515.0,8,53.0,2.5238095238095237,5.148116411532294,8,135.0,0.27204972848656533,8,135.0,False,,
520.0,7,88.0,4.0,6.338626051627773,7,162.0,0.33326595472954906,7,162.0,False,,
525.0,10,125.0,5.208333333333333,6.144890821203584,10,199.0,0.3415051279555637,10,199.0,False,,
530.0,10,173.0,7.208333333333333,6.3769732639771375,10,247.0,0.334230799657016,10,247.0,False,,
535.0,12,228.0,8.76923076923077,4.93419103362598,12,302.0,0.22503348725215075,12,302.0,False,,
540.0,14,293.0,10.851851851851851,4.930496336717216,14,368.0,0.268339086026986,14,368.0,False,,
545.0,16,368.0,14.153846153846153,4.332010763427551,16,443.0,0.222760744083895,16,443.0,False,,
550.0,18,453.0,19.695652173913043,2.433726624914341,18,528.0,0.14738372208091244,18,528.0,False,,
555.0,14,322.0,13.416666666666666,2.7526671027029628,14,510.0,0.11402813509583898,14,510.0,False,,
560.0,5,101.0,4.04,5.032858112908698,5,382.0,0.17989957638481402,5,382.0,False,,
565.0,3,4.0,0.15384615384615385,6.104160938478843,3,394.0,0.23461280039280355,3,394.0,False,,
570.0,8,33.0,1.375,5.138922250444017,8,421.0,0.19891711610809748,8,421.0,False,,
575.0,12,84.0,3.8181818181818183,4.484815130876117,12,472.0,0.20824413868127414,12,472.0,False,,
580.0,12,106.0,4.416666666666667,3.3272350360585796,12,506.0,0.09953160544445762,12,506.0,False,,
585.0,12,139.0,5.56,4.6271127939348045,12,512.0,0.20564100362506926,12,512.0,False,,
590.0,11,194.0,7.185185185185185,6.2569935473425335,11,549.0,0.3049531099617124,11,549.0,False,,
595.0,12,254.0,9.76923076923077,5.607588314566582,12,609.0,0.29176543811468414,12,609.0,False,,
600.0,15,325.0,13.0,4.823537680306356,15,680.0,0.2324928366272086,15,680.0,False,,
605.0,11,257.0,9.884615384615385,3.9772146458609714,11,627.0,0.17811588263377753,11,627.0,False,,
610.0,10,162.0,6.0,5.936227250599605,10,488.0,0.22150790856384217,10,488.0,False,,
615.0,6,40.0,1.6,5.659835728240828,6,517.0,0.20954201574827913,6,517.0,False,,
620.0,5,22.0,0.9565217391304348,5.727752826553968,5,542.0,0.18637922108796587,5,542.0,False,,
625.0,10,59.0,2.36,4.197472366437358,10,580.0,0.15500507282821815,10,580.0,False,,
630.0,12,109.0,4.541666666666667,3.9561067274186748,12,631.0,0.18779246674789993,12,631.0,False,,
635.0,15,181.0,7.869565217391305,3.1218816566723335,15,703.0,0.18582244421174404,15,703.0,False,,
640.0,19,263.0,10.958333333333334,2.3295424632509127,19,785.0,0.1297120892591757,19,785.0,False,,
645.0,13,216.0,8.64,2.4317101417823426,13,730.0,0.11994587098096797,13,730.0,False,,
650.0,9,142.0,5.916666666666667,4.910116345417389,9,573.0,0.21948399550814163,9,573.0,False,,
655.0,9,83.0,3.074074074074074,5.027567141114577,9,605.0,0.17088504840952007,9,605.0,False,,
660.0,10,43.0,1.5357142857142858,5.033031559074034,10,649.0,0.15573289708246998,10,649.0,False,,
665.0,11,82.0,3.28,4.1491162394701595,11,696.0,0.21620899842102598,11,696.0,False,,
670.0,13,143.0,6.217391304347826,2.504119557050775,13,757.0,0.1514082833266552,13,757.0,False,,
675.0,17,217.0,8.68,1.8668118716629496,17,831.0,0.06274737807390082,17,831.0,False,,
680.0,14,178.0,6.592592592592593,2.491303335073252,14,772.0,0.09260307543787402,14,772.0,False,,
685.0,12,132.0,4.714285714285714,4.327252139510751,12,604.0,0.13855597001391975,12,604.0,False,,
690.0,11,107.0,4.115384615384615,4.239183083220537,11,657.0,0.10755139936885602,11,657.0,False,,
695.0,11,92.0,3.5384615384615383,3.923540978854921,11,715.0,0.14372980441453664,11,715.0,False,,
700.0,8,63.0,2.423076923076923,2.686881787420554,8,761.0,0.14077466815204812,8,761.0,False,,
705.0,13,105.0,4.038461538461538,2.5901275137431665,13,814.0,0.16083198054910292,13,814.0,False,,
710.0,18,179.0,6.884615384615385,1.9835058428413648,18,889.0,0.14428119170222461,18,889.0,False,,
715.0,16,178.0,6.592592592592593,2.057012152265848,16,857.0,0.09564251833342559,16,857.0,False,,
720.0,15,147.0,5.25,4.188097038774093,15,656.0,0.1312564786848746,15,656.0,False,,
725.0,10,124.0,4.428571428571429,5.247570820902839,10,705.0,0.22221844136901675,10,705.0,False,,
730.0,8,72.0,2.6666666666666665,5.102548423617282,8,749.0,0.20042173623158632,8,749.0,False,,
735.0,7,43.0,1.7916666666666667,3.5698356352829514,7,784.0,0.13026271167983078,7,784.0,False,,
740.0,13,91.0,3.64,2.3724141851705927,13,832.0,0.10160519855555356,13,832.0,False,,
745.0,16,158.0,6.32,1.6059923326753707,16,900.0,0.11230371677819569,16,900.0,False,,
750.0,20,245.0,9.074074074074074,2.594176465317896,20,987.0,0.18334288568318693,20,987.0,False,,
