step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,1,0.0,0.0,2.1766230786102825,1,0.0,0.1563603325822343,1,0.0,False,,
10.0,0,0.0,0.0,7.537207534915535,0,0.0,0.4948125752882333,0,0.0,False,,
15.0,0,0.0,0.0,14.360425139130456,0,0.0,0.9564198176954636,0,0.0,False,,
20.0,1,0.0,0.0,5.954961868375978,1,0.0,0.409568862807191,1,0.0,False,,
25.0,2,2.0,0.25,3.58746914763992,2,2.0,0.2506329424837365,2,2.0,False,,
30.0,2,11.0,1.375,9.58938065583811,2,11.0,0.6718083414582703,2,11.0,False,,
35.0,3,21.0,2.3333333333333335,8.57194875144443,3,21.0,0.6006359552227213,3,21.0,False,,
40.0,3,34.0,3.090909090909091,6.298968557797187,3,34.0,0.34578955603873385,3,34.0,False,,
45.0,5,54.0,4.5,6.447377973021504,5,54.0,0.32385470048947496,5,54.0,False,,
50.0,5,79.0,6.583333333333333,7.309932249569196,5,79.0,0.4084531618137073,5,79.0,False,,
55.0,5,104.0,8.666666666666666,5.14200497551757,5,104.0,0.3355791001942735,5,104.0,False,,
60.0,6,130.0,8.666666666666666,3.063110331412759,6,130.0,0.1798905397937434,6,130.0,False,,
65.0,9,166.0,10.375,5.371054422294774,9,166.0,0.357943822859177,9,166.0,False,,
70.0,9,206.0,10.3,4.153263380695685,9,206.0,0.27731210756574287,9,206.0,False,,
75.0,11,255.0,12.142857142857142,2.7271231182560753,11,255.0,0.19813701834311578,11,255.0,False,,
80.0,15,323.0,14.043478260869565,3.6486077831055512,15,323.0,0.26700708828176994,15,323.0,False,,
85.0,17,397.0,15.88,1.9661119509346954,17,397.0,0.14250275941515259,17,397.0,False,,
90.0,21,491.0,17.535714285714285,2.6011976973568585,21,491.0,0.1876654013922436,21,491.0,False,,
95.0,15,251.0,7.84375,2.943722199773639,15,460.0,0.19579585723117116,15,460.0,False,,
100.0,9,86.0,2.5294117647058822,5.1191965380314395,9,307.0,0.2772274962792391,9,307.0,False,,
105.0,2,4.0,0.1111111111111111,5.334483951801447,2,324.0,0.2636620022098304,2,324.0,False,,
110.0,9,37.0,1.0571428571428572,5.4302671432132446,9,348.0,0.2468586890535176,9,348.0,False,,
115.0,17,99.0,3.09375,3.996635024315624,17,410.0,0.12710366901366085,17,410.0,False,,
120.0,21,193.0,5.848484848484849,3.638574441328898,21,505.0,0.09880663124429831,21,505.0,False,,
125.0,21,298.0,9.612903225806452,3.088127628649253,21,610.0,0.06743117780506867,21,610.0,False,,
130.0,22,404.0,13.466666666666667,2.990987594659857,22,716.0,0.10726573215437823,22,716.0,False,,
135.0,23,516.0,17.79310344827586,1.6357280104346756,23,828.0,0.0664775096135546,23,828.0,False,,
140.0,25,638.0,22.0,1.5367259084240417,25,950.0,0.08189498827101452,25,950.0,False,,
145.0,19,522.0,18.642857142857142,1.1015654767716512,19,919.0,0.056388639273099665,19,919.0,False,,
150.0,12,238.0,7.933333333333334,3.369054947479755,12,746.0,0.1154384463213779,12,746.0,False,,
155.0,6,46.0,1.5333333333333334,4.795973355114211,6,777.0,0.18757868154383053,6,777.0,False,,
160.0,9,37.0,1.1935483870967742,4.42234340911068,9,812.0,0.16820017780594243,9,812.0,False,,
165.0,16,101.0,3.4827586206896552,3.2175773808105017,16,876.0,0.12392659933890586,16,876.0,False,,
170.0,21,195.0,6.5,2.788608096224101,21,970.0,0.11583240191134071,21,970.0,False,,
175.0,19,241.0,7.774193548387097,3.309372498303481,19,993.0,0.15397419088568953,19,993.0,False,,
180.0,14,242.0,7.333333333333333,4.179845959788894,14,938.0,0.18475350921329686,14,938.0,False,,
185.0,14,258.0,7.588235294117647,4.184452422166695,14,1012.0,0.18770371597183236,14,1012.0,False,,
190.0,16,314.0,8.971428571428572,4.315750404940148,16,1085.0,0.20955829391172415,16,1085.0,False,,
195.0,21,404.0,10.91891891891892,3.1339707996702666,21,1175.0,0.15319657265332035,21,1175.0,False,,
200.0,26,520.0,14.054054054054054,2.5175978383291455,26,1291.0,0.13113085723292922,26,1291.0,False,,
205.0,21,437.0,11.205128205128204,3.246570566318743,21,1223.0,0.17732582556315107,21,1223.0,False,,
210.0,14,209.0,5.5,4.40346161417056,14,958.0,0.22596290926266743,14,958.0,False,,
215.0,10,79.0,2.0789473684210527,4.609312403985335,10,912.0,0.19700079123436415,10,912.0,False,,
220.0,8,32.0,0.8421052631578947,4.769802401365456,8,954.0,0.1646679474613562,8,954.0,False,,
225.0,14,86.0,2.5294117647058822,3.2290319566569954,14,1010.0,0.11816874937219526,14,1010.0,False,,
230.0,20,171.0,5.181818181818182,2.3462894523066637,20,1095.0,0.061246313362703746,20,1095.0,False,,
235.0,26,291.0,9.09375,1.79507821110523,26,1215.0,0.04537551160351,26,1215.0,False,,
240.0,22,276.0,8.625,1.8845648759173976,22,1125.0,0.06297886571661519,22,1125.0,False,,
245.0,11,155.0,4.696969696969697,4.464106054795808,11,833.0,0.19197086084055479,11,833.0,False,,
250.0,6,34.0,0.8717948717948718,4.542381002366222,6,777.0,0.18238973838875483,6,777.0,False,,
255.0,8,31.0,0.775,4.8977942381785216,8,805.0,0.23787808188595785,8,805.0,False,,
260.0,15,86.0,2.263157894736842,4.248403765272628,15,860.0,0.2793676968887994,15,860.0,False,,
