step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,7.282931758835913,0,0.0,0.5150651088297288,0,0.0,False,,
10.0,1,0.0,0.0,8.323863711773164,1,0.0,0.5878991996868801,1,0.0,False,,
15.0,0,0.0,0.0,11.041863258912954,0,0.0,0.7667404601435496,0,0.0,False,,
20.0,0,0.0,0.0,9.201556511976055,0,0.0,0.5813113000491048,0,0.0,False,,
25.0,1,5.0,0.8333333333333334,9.601029673809691,1,5.0,0.6585978544672612,1,5.0,False,,
30.0,1,10.0,1.4285714285714286,10.526799703956138,1,10.0,0.605740840110564,1,10.0,False,,
35.0,1,15.0,1.5,8.152856424398845,1,15.0,0.3207169418581117,1,15.0,False,,
40.0,3,22.0,2.0,8.272820931473385,3,22.0,0.46735988295470454,3,22.0,False,,
45.0,2,32.0,2.909090909090909,8.527775458841365,2,32.0,0.5490813665020825,2,32.0,False,,
50.0,2,42.0,3.5,8.072466867964833,2,42.0,0.5645410047437817,2,42.0,False,,
55.0,5,56.0,3.7333333333333334,6.994742722978587,5,56.0,0.41362373064538777,5,56.0,False,,
60.0,4,76.0,4.75,7.284494514666166,4,76.0,0.49155783032124956,4,76.0,False,,
65.0,4,96.0,5.052631578947368,8.117504568339253,4,96.0,0.4978842143196885,4,96.0,False,,
70.0,4,116.0,5.8,8.656115274466167,4,116.0,0.5769982345769252,4,116.0,False,,
75.0,4,136.0,6.181818181818182,7.4636590952965784,4,136.0,0.47229664781447084,4,136.0,False,,
80.0,5,158.0,7.9,8.659414378050466,5,158.0,0.567686049648837,5,158.0,False,,
85.0,6,184.0,9.68421052631579,6.420556449996121,5,183.0,0.3179828907092966,5,183.0,False,,
90.0,7,215.0,13.4375,6.8933611105255395,7,215.0,0.286495842980953,7,215.0,False,,
95.0,7,250.0,14.705882352941176,5.192660701039333,7,250.0,0.1467202432340559,7,250.0,False,,
100.0,9,285.0,15.833333333333334,5.953363974629023,9,285.0,0.14900136717229662,9,285.0,False,,
105.0,8,320.0,16.0,5.751963337673869,8,321.0,0.27234015676310996,8,321.0,False,,
110.0,7,355.0,19.72222222222222,6.334475754340835,7,356.0,0.4183726307790682,7,356.0,False,,
115.0,8,390.0,20.526315789473685,5.9405755051760964,8,391.0,0.397615496292468,8,391.0,False,,
120.0,9,430.0,22.63157894736842,5.513390690814654,9,431.0,0.3225964125021814,9,431.0,False,,
125.0,9,475.0,25.0,5.227938658690662,9,476.0,0.2347633493976399,9,476.0,False,,
130.0,11,525.0,29.166666666666668,3.527193662948941,11,525.0,0.11421133328293694,11,525.0,False,,
135.0,11,580.0,27.61904761904762,3.8061991846417023,11,580.0,0.10780395924708133,11,580.0,False,,
140.0,11,635.0,30.238095238095237,4.6837513494219385,11,635.0,0.2259553850703171,11,635.0,False,,
145.0,11,690.0,32.857142857142854,5.044268373220921,11,690.0,0.2561608383338332,11,690.0,False,,
150.0,12,749.0,39.421052631578945,4.11427711375413,12,749.0,0.21727657206302778,12,749.0,False,,
155.0,12,809.0,40.45,4.117710219891356,12,809.0,0.19993553177267548,12,809.0,False,,
160.0,12,869.0,37.78260869565217,4.882910078602764,12,869.0,0.22839467475881067,12,869.0,False,,
165.0,11,545.0,20.96153846153846,4.839355701345058,11,782.0,0.2717750587841882,11,782.0,False,,
170.0,6,168.0,6.222222222222222,6.222347779161724,6,581.0,0.34791257552334265,6,581.0,False,,
175.0,3,20.0,0.7692307692307693,7.784542012542185,3,322.0,0.4457229339662122,3,322.0,False,,
180.0,1,1.0,0.038461538461538464,7.973369853532261,1,328.0,0.4774602048986303,1,328.0,False,,
185.0,4,15.0,0.6,6.630845055805476,4,342.0,0.3494016496112319,4,342.0,False,,
190.0,8,41.0,1.7826086956521738,4.679389130927464,7,368.0,0.2246753041775954,7,368.0,False,,
195.0,10,82.0,3.4166666666666665,4.606435735296336,10,409.0,0.17958259833891657,10,409.0,False,,
200.0,11,137.0,5.708333333333333,5.3392939443553855,11,464.0,0.24259863622787053,11,464.0,False,,
205.0,11,192.0,8.727272727272727,5.644379230825755,11,519.0,0.2485422800694387,11,519.0,False,,
210.0,11,247.0,11.227272727272727,4.938288374585804,11,574.0,0.18733188707065326,11,574.0,False,,
215.0,9,199.0,9.95,5.687618687559766,9,510.0,0.2667486718352918,9,510.0,False,,
220.0,4,84.0,4.666666666666667,6.123239961750822,4,294.0,0.2137192489512096,4,294.0,False,,
225.0,1,11.0,0.6875,7.835227016055882,1,175.0,0.363067376436233,1,175.0,False,,
230.0,1,3.0,0.17647058823529413,7.052370430025993,1,127.0,0.31282314818148765,1,127.0,False,,
235.0,4,15.0,1.0,6.042840365441336,4,139.0,0.18247998198887744,4,139.0,False,,
240.0,7,30.0,2.142857142857143,5.877468780542657,7,154.0,0.21581269165396846,7,154.0,False,,
245.0,6,60.0,5.0,2.88153586722359,6,184.0,0.13262919139977955,6,184.0,False,,
250.0,8,97.0,8.083333333333334,3.9789858591436604,8,221.0,0.21728115942632426,8,221.0,False,,
255.0,8,137.0,12.454545454545455,3.5902464032499712,8,261.0,0.2579682896943431,8,261.0,False,,
260.0,9,177.0,13.615384615384615,2.9915720336835077,9,301.0,0.15352864182949888,9,301.0,False,,
265.0,8,217.0,15.5,3.9175535743714662,8,341.0,0.19148291172423113,8,341.0,False,,
270.0,9,257.0,16.0625,5.264742407589856,9,381.0,0.2606031344360783,9,381.0,False,,
275.0,8,297.0,19.8,5.708211471194622,8,421.0,0.3365732447293582,8,421.0,False,,
280.0,9,337.0,18.72222222222222,4.37248294325593,9,461.0,0.22771356341205262,9,461.0,False,,
285.0,9,377.0,20.944444444444443,4.489346107059502,9,501.0,0.17989807852598777,9,501.0,False,,
290.0,9,421.0,21.05,5.767084624172139,9,545.0,0.299943528629838,9,545.0,False,,
295.0,8,281.0,13.380952380952381,5.315333544179477,8,490.0,0.29308749108411414,8,490.0,False,,
300.0,3,26.0,1.3,6.632460644572231,3,248.0,0.33983744643724734,3,248.0,False,,
305.0,0,0.0,0.0,5.7046310961231725,0,255.0,0.28239036154051567,0,255.0,False,,
310.0,3,11.0,0.4583333333333333,7.3190909340999655,3,266.0,0.3634786088830165,3,266.0,False,,
315.0,6,35.0,1.4583333333333333,6.530246829734781,6,290.0,0.3024155271934496,6,290.0,False,,
320.0,9,75.0,3.260869565217391,5.223544148295291,9,330.0,0.24538450516481905,9,330.0,False,,
325.0,10,77.0,3.5,5.219658475253116,10,306.0,0.2502102408065778,10,306.0,False,,
330.0,5,45.0,2.0454545454545454,6.259937188032242,5,197.0,0.32560438383279516,5,197.0,False,,
335.0,1,4.0,0.17391304347826086,7.966932880558343,1,95.0,0.41318357383731824,1,95.0,False,,
340.0,0,0.0,0.0,9.757142574906913,0,48.0,0.5408394206423022,0,48.0,False,,
345.0,0,0.0,0.0,11.18334227098662,0,25.0,0.7520943078002466,0,25.0,False,,
350.0,0,0.0,0.0,10.329590480086903,0,14.0,0.6354667127983551,0,14.0,False,,
355.0,5,12.0,0.631578947368421,6.736179271487618,5,26.0,0.2682465471741798,5,26.0,False,,
360.0,7,30.0,1.6666666666666667,5.029499083745396,7,46.0,0.20644696427962328,7,46.0,False,,
365.0,7,64.0,3.764705882352941,6.266092607585959,7,78.0,0.26569452305812374,7,78.0,False,,
370.0,9,103.0,6.0588235294117645,5.305690033066476,9,117.0,0.23880225371163366,9,117.0,False,,
375.0,6,80.0,5.333333333333333,4.548000163433191,6,124.0,0.26298546257343863,6,124.0,False,,
380.0,2,15.0,1.0714285714285714,7.133152969485217,2,99.0,0.38399489415190036,2,99.0,False,,
