step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,2,0.0,0.0,0.6648058245424181,2,0.0,0.04852209082707092,2,0.0,False,,
10.0,1,0.0,0.0,5.294477256585646,1,1.0,0.3754615131366119,1,1.0,False,,
15.0,1,0.0,0.0,9.656443136668628,1,1.0,0.672667977567666,1,1.0,False,,
20.0,2,0.0,0.0,9.407554288418336,2,1.0,0.6581249278070183,2,1.0,False,,
25.0,0,0.0,0.0,9.022545867304961,0,1.0,0.5764870900282307,0,1.0,False,,
30.0,5,15.0,1.1538461538461537,7.971482836845781,5,16.0,0.499132978329031,5,16.0,False,,
35.0,3,25.0,1.6666666666666667,6.820388044887569,3,30.0,0.3620841723835413,3,30.0,False,,
40.0,5,46.0,3.2857142857142856,5.893543108184276,5,46.0,0.26427673161687965,5,46.0,False,,
45.0,6,76.0,5.428571428571429,7.807203367667993,6,76.0,0.3788316951455708,6,76.0,False,,
50.0,7,106.0,7.571428571428571,5.569698491811342,7,106.0,0.26209698133019765,7,106.0,False,,
55.0,4,52.0,3.7142857142857144,3.781560316035711,4,104.0,0.18857438225933434,4,104.0,False,,
60.0,1,3.0,0.1875,8.611459169121558,1,61.0,0.5166879220653328,1,61.0,False,,
65.0,2,5.0,0.2777777777777778,9.03959301724609,2,63.0,0.538175379635721,2,63.0,False,,
70.0,4,21.0,1.1666666666666667,7.4331274938659,4,79.0,0.3984168051295743,4,79.0,False,,
75.0,7,49.0,2.8823529411764706,5.6383678995103645,7,107.0,0.27085301548253676,7,107.0,False,,
80.0,8,83.0,4.611111111111111,5.418719141064283,8,141.0,0.3044034496559907,8,141.0,False,,
85.0,10,124.0,6.526315789473684,5.793924994171837,10,182.0,0.31548193924224155,10,182.0,False,,
90.0,11,170.0,8.5,3.2998911182503234,11,228.0,0.16901278557462618,11,228.0,False,,
95.0,12,230.0,10.952380952380953,3.72620933573737,12,288.0,0.2448739789563838,12,288.0,False,,
100.0,13,292.0,14.6,3.624168780469501,13,350.0,0.2306434524388469,13,350.0,False,,
105.0,14,360.0,17.142857142857142,2.072747631198492,14,418.0,0.10673465182181437,14,418.0,False,,
110.0,17,444.0,20.181818181818183,1.6860829197256775,17,502.0,0.07750651729698052,17,502.0,False,,
115.0,20,535.0,24.318181818181817,1.1796196127881258,20,593.0,0.04624162575521832,20,593.0,False,,
120.0,14,399.0,18.136363636363637,1.6775492021248803,14,578.0,0.08728063611307041,14,578.0,False,,
125.0,7,185.0,8.409090909090908,4.9850466254915355,7,449.0,0.19942447678286335,7,449.0,False,,
130.0,5,67.0,2.68,5.563809161914503,5,419.0,0.2009971727026771,5,419.0,False,,
135.0,6,24.0,0.9230769230769231,6.594093027221614,6,447.0,0.2815933236717092,6,447.0,False,,
140.0,9,61.0,2.772727272727273,4.301941119825032,9,484.0,0.17392390439452976,9,484.0,False,,
145.0,13,118.0,6.2105263157894735,1.3886522432048316,13,541.0,0.10353409773346546,13,541.0,False,,
150.0,17,194.0,10.210526315789474,0.6304072107869491,17,617.0,0.05069410778963136,17,617.0,False,,
155.0,19,284.0,13.523809523809524,0.9287765802208431,19,707.0,0.07209619189240452,19,707.0,False,,
160.0,12,205.0,9.761904761904763,2.6751904503886474,12,670.0,0.1755516192535011,12,670.0,False,,
165.0,7,100.0,4.761904761904762,4.863345169813357,7,503.0,0.18567538769595793,7,503.0,False,,
170.0,6,16.0,0.6666666666666666,5.281412226741419,6,526.0,0.18358870248827805,6,526.0,False,,
175.0,6,36.0,1.5,5.472364149217502,6,553.0,0.2629246432392767,6,553.0,False,,
180.0,10,78.0,3.25,3.62112715505415,10,595.0,0.17729679227071216,10,595.0,False,,
185.0,13,133.0,5.541666666666667,4.0015931232892035,13,650.0,0.2414101341745704,13,650.0,False,,
190.0,16,203.0,8.458333333333334,3.0427612936367185,16,720.0,0.15212981392344954,16,720.0,False,,
195.0,20,288.0,11.076923076923077,2.1274739827829077,20,805.0,0.07599330304662023,20,805.0,False,,
200.0,13,214.0,7.925925925925926,3.71468612808548,13,741.0,0.18693633489739406,13,741.0,False,,
205.0,9,139.0,5.148148148148148,6.231939526590277,9,563.0,0.3079810275725118,9,563.0,False,,
210.0,6,75.0,2.7777777777777777,5.9327564522313025,6,588.0,0.272646347785811,6,588.0,False,,
215.0,9,30.0,1.0,5.341254846990247,9,620.0,0.21472019218930466,9,620.0,False,,
220.0,11,79.0,2.8214285714285716,4.307743430416688,11,669.0,0.21427201276210775,11,669.0,False,,
225.0,14,145.0,5.8,2.9876009303967934,14,735.0,0.16495996153345885,14,735.0,False,,
230.0,19,232.0,8.923076923076923,2.834115670808788,19,822.0,0.11453896692118788,19,822.0,False,,
235.0,20,329.0,12.185185185185185,1.985651660901897,20,919.0,0.07683896893148652,20,919.0,False,,
240.0,22,436.0,15.571428571428571,1.6955625079077676,22,1026.0,0.0928362697872129,22,1026.0,False,,
245.0,24,553.0,20.48148148148148,1.2193644122312663,24,1143.0,0.10369895309298388,24,1143.0,False,,
250.0,19,438.0,16.22222222222222,0.8387251227769114,19,1087.0,0.03525668209111069,19,1087.0,False,,
255.0,13,237.0,8.464285714285714,3.458604821167417,13,864.0,0.10561939874897734,13,864.0,False,,
260.0,8,112.0,3.8620689655172415,4.800531094664583,8,792.0,0.16567147795311937,8,792.0,False,,
265.0,8,31.0,1.0689655172413792,4.025180149702291,8,831.0,0.1306211840157649,8,831.0,False,,
270.0,14,92.0,3.5384615384615383,2.4662019939237627,14,893.0,0.12647731930088857,14,893.0,False,,
275.0,17,173.0,6.653846153846154,1.1042233939007162,17,974.0,0.07792233252122104,17,974.0,False,,
280.0,22,273.0,10.11111111111111,1.4106852102960712,22,1074.0,0.0985968514004229,22,1074.0,False,,
285.0,18,240.0,8.571428571428571,1.9722198838552418,18,996.0,0.1199832648574066,18,996.0,False,,
