step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,2.6718352809785904,0,0.0,0.19226399355269794,0,0.0,False,,
10.0,0,0.0,0.0,10.204575826218411,0,0.0,0.7505800530639246,0,0.0,False,,
15.0,0,0.0,0.0,8.32217515939233,0,1.0,0.6109275427795623,0,1.0,False,,
20.0,0,0.0,0.0,12.417643217771406,0,1.0,0.9261865078582178,0,1.0,False,,
25.0,1,1.0,0.08333333333333333,8.208626671480124,1,2.0,0.6035222557633418,1,2.0,False,,
30.0,2,6.0,0.4,9.502766148153631,2,7.0,0.6160548576959026,2,7.0,False,,
35.0,2,2.0,0.11764705882352941,8.376146106242222,2,3.0,0.497074290699398,2,3.0,False,,
40.0,2,12.0,0.8571428571428571,9.762857582417977,2,13.0,0.642887275661236,2,13.0,False,,
45.0,0,0.0,0.0,9.384936190927595,0,2.0,0.6353929306713374,0,2.0,False,,
50.0,2,2.0,0.1111111111111111,8.915538679225927,2,3.0,0.48608300388225595,2,3.0,False,,
55.0,2,1.0,0.05263157894736842,8.585701312233086,2,2.0,0.48401092814189933,2,2.0,False,,
60.0,3,12.0,0.6666666666666666,9.039125153676558,3,13.0,0.4812435237555478,3,13.0,False,,
65.0,1,4.0,0.25,7.957130771777401,1,18.0,0.4510325739266672,1,18.0,False,,
70.0,1,1.0,0.06666666666666667,10.519919392849143,1,6.0,0.608549177257178,1,6.0,False,,
75.0,4,10.0,0.6666666666666666,7.350415114604562,4,15.0,0.29454215314889437,4,15.0,False,,
80.0,5,34.0,2.4285714285714284,7.617206337006165,5,39.0,0.3862276722296774,5,39.0,False,,
85.0,1,2.0,0.18181818181818182,6.007938692447296,1,30.0,0.4101808407860566,1,30.0,False,,
90.0,0,0.0,0.0,10.208073769336263,0,2.0,0.8078034407666421,0,2.0,False,,
95.0,2,4.0,0.4,9.89222927846745,2,6.0,0.30357798255240726,2,6.0,False,,
100.0,2,14.0,1.2727272727272727,9.64733342844565,2,16.0,0.14445849582297596,2,16.0,False,,
105.0,0,0.0,0.0,10.10241606390147,0,0.0,0.7044029130124102,0,0.0,False,,
110.0,0,0.0,0.0,12.748659384194985,0,0.0,0.965974536982857,0,0.0,False,,
115.0,0,0.0,0.0,8.243432103303926,0,0.0,0.4553790020814741,0,0.0,False,,
120.0,0,0.0,0.0,11.278290571418514,0,0.0,0.6687746559242033,0,0.0,False,,
125.0,0,0.0,0.0,12.069954964856919,0,0.0,0.8360081788091585,0,0.0,False,,
