step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,2.246537674183959,0,0.0,0.14527993307496084,0,0.0,False,,
10.0,1,0.0,0.0,7.068357054503427,1,0.0,0.4721516329003923,1,0.0,False,,
15.0,0,0.0,0.0,10.246750605417615,0,0.0,0.7104575934990973,0,0.0,False,,
20.0,0,0.0,0.0,9.013335719330602,0,0.0,0.5820664554839536,0,0.0,False,,
25.0,0,0.0,0.0,10.841924497139217,0,0.0,0.6960974909541046,0,0.0,False,,
30.0,2,0.0,0.0,9.758386085317882,2,0.0,0.6054473463628546,2,0.0,False,,
35.0,0,0.0,0.0,11.351746633265806,0,0.0,0.8506041875912449,0,0.0,False,,
40.0,2,2.0,0.16666666666666666,9.656842068245156,2,2.0,0.5952913190395165,2,2.0,False,,
45.0,2,10.0,0.7692307692307693,7.915716477083357,2,10.0,0.47137173406061317,2,10.0,False,,
50.0,5,25.0,1.9230769230769231,7.001784908533806,5,25.0,0.4408810112777981,5,25.0,False,,
55.0,4,45.0,3.75,7.175052974530815,4,45.0,0.43653925685809264,4,45.0,False,,
60.0,5,66.0,4.714285714285714,6.521090426309896,5,66.0,0.3686984454351207,5,66.0,False,,
65.0,5,91.0,7.0,7.462313394036802,5,91.0,0.38797284028422396,5,91.0,False,,
70.0,5,116.0,8.285714285714286,6.756107533405023,5,116.0,0.24767744540810574,5,116.0,False,,
75.0,5,141.0,11.75,6.58352148372159,5,141.0,0.3398545791241566,5,141.0,False,,
80.0,6,168.0,12.923076923076923,4.65634281968869,6,168.0,0.23305480206634197,6,168.0,False,,
85.0,7,202.0,15.538461538461538,3.4924476637694113,7,203.0,0.1935877418662034,7,203.0,False,,
90.0,8,241.0,17.214285714285715,5.032016124511427,8,242.0,0.3339163060625181,8,242.0,False,,
95.0,8,281.0,20.071428571428573,5.477001878610452,8,282.0,0.31871621085674334,8,282.0,False,,
100.0,9,321.0,21.4,3.5256453494995204,9,322.0,0.2013017107229261,9,322.0,False,,
105.0,10,364.0,21.41176470588235,3.925766690321834,10,364.0,0.13812780298342783,10,364.0,False,,
110.0,9,409.0,22.72222222222222,4.777975107749446,9,409.0,0.2580454140572544,9,409.0,False,,
115.0,11,454.0,20.636363636363637,5.535045720062128,11,454.0,0.33784717458892377,11,454.0,False,,
120.0,9,268.0,12.181818181818182,4.7790804784761285,9,417.0,0.330972078366153,9,417.0,False,,
